Attribute,Description,Value,Meaning
KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,1,very low
KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,2,low
KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,3,average
KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,4,high
KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,5,very high
KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)","-1, 9",unknown
KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",0,none
KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",1,very low
KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",2,low
KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",3,average
KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",4,high
KBA05_SEG6,share of upper class cars (BMW 7er etc.) in the microcell,"-1, 9",unknown
KBA05_SEG6,share of upper class cars (BMW 7er etc.) in the microcell,0,none
KBA05_SEG6,share of upper class cars (BMW 7er etc.) in the microcell,1,some
KBA05_SEG7,share of all-terrain vehicles and MUVs in the microcell,"-1, 9",unknown
KBA05_SEG7,share of all-terrain vehicles and MUVs in the microcell,0,none
KBA05_SEG7,share of all-terrain vehicles and MUVs in the microcell,1,low
KBA05_SEG7,share of all-terrain vehicles and MUVs in the microcell,2,average
KBA05_SEG7,share of all-terrain vehicles and MUVs in the microcell,3,high
KBA05_SEG8,share of roadster and convertables in the microcell,"-1, 9",unknown
KBA05_SEG8,share of roadster and convertables in the microcell,0,none
KBA05_SEG8,share of roadster and convertables in the microcell,1,low
KBA05_SEG8,share of roadster and convertables in the microcell,2,average
KBA05_SEG8,share of roadster and convertables in the microcell,3,high
KBA05_SEG9,share of vans in the microcell,"-1, 9",unknown
KBA05_SEG9,share of vans in the microcell,0,none
KBA05_SEG9,share of vans in the microcell,1,low
KBA05_SEG9,share of vans in the microcell,2,average
KBA05_SEG9,share of vans in the microcell,3,high
KBA05_VORB0,share of cars with no preowner,"-1, 9",unknown
KBA05_VORB0,share of cars with no preowner,1,very low
KBA05_VORB0,share of cars with no preowner,2,low
KBA05_VORB0,share of cars with no preowner,3,average
KBA05_VORB0,share of cars with no preowner,4,high
KBA05_VORB0,share of cars with no preowner,5,very high
KBA05_VORB1,share of cars with one or two preowner,"-1, 9",unknown
KBA05_VORB1,share of cars with one or two preowner,1,very low
KBA05_VORB1,share of cars with one or two preowner,2,low
KBA05_VORB1,share of cars with one or two preowner,3,average
KBA05_VORB1,share of cars with one or two preowner,4,high
KBA05_VORB1,share of cars with one or two preowner,5,very high
KBA05_VORB2,share of cars with more than two preowner,"-1, 9",unknown
KBA05_VORB2,share of cars with more than two preowner,0,none
KBA05_VORB2,share of cars with more than two preowner,1,very low
KBA05_VORB2,share of cars with more than two preowner,2,low
KBA05_VORB2,share of cars with more than two preowner,3,average
KBA05_VORB2,share of cars with more than two preowner,4,high
KBA05_VORB2,share of cars with more than two preowner,5,very high
KBA05_ZUL1,share of cars built before 1994,"-1, 9",unknown
KBA05_ZUL1,share of cars built before 1994,1,very low
KBA05_ZUL1,share of cars built before 1994,2,low
KBA05_ZUL1,share of cars built before 1994,3,average
KBA05_ZUL1,share of cars built before 1994,4,high
KBA05_ZUL1,share of cars built before 1994,5,very high
KBA05_ZUL2,share of cars built between 1994 and 2000,"-1, 9",unknown
KBA05_ZUL2,share of cars built between 1994 and 2000,1,very low
KBA05_ZUL2,share of cars built between 1994 and 2000,2,low
KBA05_ZUL2,share of cars built between 1994 and 2000,3,average
KBA05_ZUL2,share of cars built between 1994 and 2000,4,high
KBA05_ZUL2,share of cars built between 1994 and 2000,5,very high
KBA05_ZUL3,share of cars built between 2001 and 2002,"-1, 9",unknown
KBA05_ZUL3,share of cars built between 2001 and 2002,0,none
KBA05_ZUL3,share of cars built between 2001 and 2002,1,very low
KBA05_ZUL3,share of cars built between 2001 and 2002,2,low
KBA05_ZUL3,share of cars built between 2001 and 2002,3,average
KBA05_ZUL3,share of cars built between 2001 and 2002,4,high
KBA05_ZUL3,share of cars built between 2001 and 2002,5,very high
KBA05_ZUL4,share of cars built from 2003 on,"-1, 9",unknown
KBA05_ZUL4,share of cars built from 2003 on,0,none
KBA05_ZUL4,share of cars built from 2003 on,1,very low
KBA05_ZUL4,share of cars built from 2003 on,2,low
KBA05_ZUL4,share of cars built from 2003 on,3,average
KBA05_ZUL4,share of cars built from 2003 on,4,high
KBA05_ZUL4,share of cars built from 2003 on,5,very high
KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,-1,unknown
KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,0,none
KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,1,very low
KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,2,low
KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,3,average
KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,4,high
KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,5,very high
KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,-1,unknown
KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,0,none
KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,1,very low
KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,2,low
KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,3,average
KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,4,high
KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,5,very high
KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,-1,unknown
KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,0,none
KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,1,very low
KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,2,low
KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,3,average
KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,4,high
KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,5,very high
KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,-1,unknown
KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,0,none
KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,1,very low
KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,2,low
KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,3,average
KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,4,high
KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,5,very high
KBA13_ANZAHL_PKW,number of cars in the PLZ8,,numeric value
KBA13_AUDI,share of AUDI within the PLZ8,-1,unknown
KBA13_AUDI,share of AUDI within the PLZ8,0,none
KBA13_AUDI,share of AUDI within the PLZ8,1,very low
KBA13_AUDI,share of AUDI within the PLZ8,2,low
KBA13_AUDI,share of AUDI within the PLZ8,3,average
KBA13_AUDI,share of AUDI within the PLZ8,4,high
KBA13_AUDI,share of AUDI within the PLZ8,5,very high
KBA13_AUTOQUOTE,share of cars per household within the PLZ8,-1,unknown
KBA13_AUTOQUOTE,share of cars per household within the PLZ8,0,none
KBA13_AUTOQUOTE,share of cars per household within the PLZ8,1,very low
KBA13_AUTOQUOTE,share of cars per household within the PLZ8,2,low
KBA13_AUTOQUOTE,share of cars per household within the PLZ8,3,average
KBA13_AUTOQUOTE,share of cars per household within the PLZ8,4,high
KBA13_AUTOQUOTE,share of cars per household within the PLZ8,5,very high
KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,-1,unknown
KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,0,none
KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,1,very low
KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,2,low
KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,3,average
KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,4,high
KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,5,very high
KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,-1,unknown
KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,0,none
KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,1,very low
KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,2,low
KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,3,average
KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,4,high
KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,5,very high
KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,-1,unknown
KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,0,none
KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,1,very low
KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,2,low
KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,3,average
KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,4,high
KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,5,very high
KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,-1,unknown
KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,0,none
KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,1,very low
KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,2,low
KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,3,average
KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,4,high
KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,5,very high
KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,-1,unknown
KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,0,none
KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,1,very low
KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,2,low
KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,3,average
KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,4,high
KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,5,very high
KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,-1,unknown
KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,0,none
KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,1,very low
KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,2,low
KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,3,average
KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,4,high
KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,5,very high
KBA13_BMW,share of BMW within the PLZ8,-1,unknown
KBA13_BMW,share of BMW within the PLZ8,0,none
KBA13_BMW,share of BMW within the PLZ8,1,very low
KBA13_BMW,share of BMW within the PLZ8,2,low
KBA13_BMW,share of BMW within the PLZ8,3,average
KBA13_BMW,share of BMW within the PLZ8,4,high
KBA13_BMW,share of BMW within the PLZ8,5,very high
KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,-1,unknown
KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,0,none
KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,1,very low
KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,2,low
KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,3,average
KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,4,high
KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,5,very high
KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,-1,unknown
KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,0,none
KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,1,very low
KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,2,low
KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,3,average
KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,4,high
KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,5,very high
KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,-1,unknown
KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,0,none
KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,1,very low
KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,2,low
KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,3,average
KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,4,high
KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,5,very high
KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,-1,unknown
KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,0,none
KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,1,very low
KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,2,low
KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,3,average
KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,4,high
KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,5,very high
KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,-1,unknown
KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,0,none
KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,1,very low
KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,2,low
KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,3,average
KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,4,high
KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,5,very high
KBA13_CCM_1400_2500,share of cars with 1400ccm to 2499ccm within the PLZ8,-1,unknown
KBA13_CCM_1400_2500,share of cars with 1400ccm to 2499ccm within the PLZ8,0,none
KBA13_CCM_1400_2500,share of cars with 1400ccm to 2499ccm within the PLZ8,1,very low
KBA13_CCM_1400_2500,share of cars with 1400ccm to 2499ccm within the PLZ8,2,low
KBA13_CCM_1400_2500,share of cars with 1400ccm to 2499ccm within the PLZ8,3,average
KBA13_CCM_1400_2500,share of cars with 1400ccm to 2499ccm within the PLZ8,4,high
KBA13_CCM_1400_2500,share of cars with 1400ccm to 2499ccm within the PLZ8,5,very high
KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,-1,unknown
KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,0,none
KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,1,very low
KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,2,low
KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,3,average
KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,4,high
KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,5,very high
KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,-1,unknown
KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,0,none
KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,1,very low
KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,2,low
KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,3,average
KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,4,high
KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,5,very high
KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,-1,unknown
KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,0,none
KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,1,very low
KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,2,low
KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,3,average
KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,4,high
KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,5,very high
KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,-1,unknown
KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,0,none
KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,1,very low
KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,2,low
KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,3,average
KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,4,high
KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,5,very high
KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,-1,unknown
KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,0,none
KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,1,very low
KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,2,low
KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,3,average
KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,4,high
KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,5,very high
KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,-1,unknown
KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,0,none
KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,1,very low
KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,2,low
KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,3,average
KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,4,high
KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,5,very high
KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,-1,unknown
KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,0,none
KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,1,very low
KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,2,low
KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,3,average
KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,4,high
KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,5,very high
KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,-1,unknown
KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,0,none
KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,1,very low
KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,2,low
KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,3,average
KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,4,high
KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,5,very high
KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,-1,unknown
KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,0,none
KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,1,very low
KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,2,low
KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,3,average
KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,4,high
KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,5,very high
KBA13_FIAT,share of FIAT within the PLZ8,-1,unknown
KBA13_FIAT,share of FIAT within the PLZ8,0,none
KBA13_FIAT,share of FIAT within the PLZ8,1,very low
KBA13_FIAT,share of FIAT within the PLZ8,2,low
KBA13_FIAT,share of FIAT within the PLZ8,3,average
KBA13_FIAT,share of FIAT within the PLZ8,4,high
KBA13_FIAT,share of FIAT within the PLZ8,5,very high
KBA13_FORD,share of FORD within the PLZ8,-1,unknown
KBA13_FORD,share of FORD within the PLZ8,0,none
KBA13_FORD,share of FORD within the PLZ8,1,very low
KBA13_FORD,share of FORD within the PLZ8,2,low
KBA13_FORD,share of FORD within the PLZ8,3,average
KBA13_FORD,share of FORD within the PLZ8,4,high
KBA13_FORD,share of FORD within the PLZ8,5,very high
KBA13_HALTER_20,share of car owners below 21 within the PLZ8,-1,unknown
KBA13_HALTER_20,share of car owners below 21 within the PLZ8,0,none
KBA13_HALTER_20,share of car owners below 21 within the PLZ8,1,very low
KBA13_HALTER_20,share of car owners below 21 within the PLZ8,2,low
KBA13_HALTER_20,share of car owners below 21 within the PLZ8,3,average
KBA13_HALTER_20,share of car owners below 21 within the PLZ8,4,high
KBA13_HALTER_20,share of car owners below 21 within the PLZ8,5,very high
KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,-1,unknown
KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,0,none
KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,1,very low
KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,2,low
KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,3,average
KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,4,high
KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,5,very high
KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,-1,unknown
KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,0,none
KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,1,very low
KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,2,low
KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,3,average
KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,4,high
KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,5,very high
KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,-1,unknown
KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,0,none
KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,1,very low
KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,2,low
KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,3,average
KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,4,high
KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,5,very high
KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,-1,unknown
KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,0,none
KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,1,very low
KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,2,low
KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,3,average
KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,4,high
KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,5,very high
KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,-1,unknown
KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,0,none
KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,1,very low
KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,2,low
KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,3,average
KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,4,high
KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,5,very high
KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,-1,unknown
KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,0,none
KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,1,very low
KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,2,low
KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,3,average
KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,4,high
KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,5,very high
KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,-1,unknown
KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,0,none
KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,1,very low
KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,2,low
KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,3,average
KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,4,high
KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,5,very high
KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,-1,unknown
KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,0,none
KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,1,very low
KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,2,low
KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,3,average
KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,4,high
KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,5,very high
KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,-1,unknown
KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,0,none
KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,1,very low
KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,2,low
KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,3,average
KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,4,high
KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,5,very high
KBA13_HALTER_66,share of car owners over 66 within the PLZ8,-1,unknown
KBA13_HALTER_66,share of car owners over 66 within the PLZ8,0,none
KBA13_HALTER_66,share of car owners over 66 within the PLZ8,1,very low
KBA13_HALTER_66,share of car owners over 66 within the PLZ8,2,low
KBA13_HALTER_66,share of car owners over 66 within the PLZ8,3,average
KBA13_HALTER_66,share of car owners over 66 within the PLZ8,4,high
KBA13_HALTER_66,share of car owners over 66 within the PLZ8,5,very high
KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,-1,unknown
KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,0,none
KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,1,very low
KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,2,low
KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,3,average
KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,4,high
KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,5,very high
KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,-1,unknown
KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,0,none
KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,1,very low
KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,2,low
KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,3,average
KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,4,high
KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,5,very high
KBA13_HERST_BMW_BENZ,share of BMW & Mercedes Benz within the PLZ8,-1,unknown
KBA13_HERST_BMW_BENZ,share of BMW & Mercedes Benz within the PLZ8,0,none
KBA13_HERST_BMW_BENZ,share of BMW & Mercedes Benz within the PLZ8,1,very low
